trial,scope,params,val_MAE,val_RMSE,val_R2,val_zone_accuracy,val_mean_ordinal_error,recourse_success_rate,recourse_mean_cost,recourse_mean_delta_kwh
22,building,"{'loss_function': 'RMSE', 'eval_metric': 'MAE', 'iterations': 900, 'depth': 4, 'learning_rate': 0.08710077636975316, 'l2_leaf_reg': 4.615521474578804, 'random_strength': 0.5635030720975491, 'bagging_temperature': 0.8223515418740998, 'border_count': 64, 'min_data_in_leaf': 27, 'random_seed': 42, 'verbose': False, 'allow_writing_files': False}",0.2939393595573877,0.45742836802243003,0.8330251467825518,0.7250229147571036,0.29178124045218456,0.9,6.820000000000002,0.5623791512552115
17,building,"{'loss_function': 'RMSE', 'eval_metric': 'MAE', 'iterations': 800, 'depth': 5, 'learning_rate': 0.06262401024016823, 'l2_leaf_reg': 11.056878356926621, 'random_strength': 0.4407297157411358, 'bagging_temperature': 0.5260583589040196, 'border_count': 64, 'min_data_in_leaf': 5, 'random_seed': 42, 'verbose': False, 'allow_writing_files': False}",0.2995413214997612,0.46994401773492245,0.8237629833290331,0.7167736021998167,0.2997250229147571,0.9,6.4300000000000015,0.42260993737041536
23,building,"{'loss_function': 'RMSE', 'eval_metric': 'MAE', 'iterations': 900, 'depth': 4, 'learning_rate': 0.08531701871232739, 'l2_leaf_reg': 2.7056826473682967, 'random_strength': 0.6050770217835436, 'bagging_temperature': 0.9605755216557904, 'border_count': 64, 'min_data_in_leaf': 28, 'random_seed': 42, 'verbose': False, 'allow_writing_files': False}",0.29969085115357974,0.4661265982074674,0.8266145490462222,0.7155514818209594,0.3015582034830431,0.8,7.830000000000003,0.5140731575351912
19,building,"{'loss_function': 'RMSE', 'eval_metric': 'MAE', 'iterations': 800, 'depth': 4, 'learning_rate': 0.06118985273521515, 'l2_leaf_reg': 5.501995172233273, 'random_strength': 0.35573946871556905, 'bagging_temperature': 0.7113534078500438, 'border_count': 64, 'min_data_in_leaf': 13, 'random_seed': 42, 'verbose': False, 'allow_writing_files': False}",0.3001730218654061,0.4629543157952616,0.8289665108441474,0.7192178429575313,0.29819737244118544,0.8,7.060000000000002,0.4251742822226701
20,building,"{'loss_function': 'RMSE', 'eval_metric': 'MAE', 'iterations': 800, 'depth': 4, 'learning_rate': 0.05564002362628178, 'l2_leaf_reg': 5.191525593996832, 'random_strength': 0.38670358633154817, 'bagging_temperature': 0.7231705815587204, 'border_count': 64, 'min_data_in_leaf': 22, 'random_seed': 42, 'verbose': False, 'allow_writing_files': False}",0.30048893876895366,0.4678013824872279,0.8253663692619801,0.7158570119156737,0.30308585395661475,0.6,9.910000000000004,0.44321703353099295
25,building,"{'loss_function': 'RMSE', 'eval_metric': 'MAE', 'iterations': 900, 'depth': 4, 'learning_rate': 0.07913400181992017, 'l2_leaf_reg': 1.6614982565764045, 'random_strength': 1.0746605403428189, 'bagging_temperature': 0.8388823583513605, 'border_count': 32, 'min_data_in_leaf': 27, 'random_seed': 42, 'verbose': False, 'allow_writing_files': False}",0.301468978620782,0.46752171880080123,0.8255751077918935,0.7131072410632447,0.3049190345249007,0.9,7.100000000000001,0.475659184282585
14,building,"{'loss_function': 'RMSE', 'eval_metric': 'MAE', 'iterations': 600, 'depth': 5, 'learning_rate': 0.0665424283708573, 'l2_leaf_reg': 11.950636094743214, 'random_strength': 0.21619825813450977, 'bagging_temperature': 0.5848189661126377, 'border_count': 64, 'min_data_in_leaf': 6, 'random_seed': 42, 'verbose': False, 'allow_writing_files': False}",0.3018167825239064,0.472336484686349,0.8219639838664252,0.7173846623892454,0.30003055300947146,1.0,3.8300000000000005,0.4080073989444866
27,building,"{'loss_function': 'RMSE', 'eval_metric': 'MAE', 'iterations': 900, 'depth': 3, 'learning_rate': 0.08607814058011899, 'l2_leaf_reg': 4.478980571230527, 'random_strength': 0.4976376772360037, 'bagging_temperature': 0.9871725913981094, 'border_count': 64, 'min_data_in_leaf': 20, 'random_seed': 42, 'verbose': False, 'allow_writing_files': False}",0.30258445959309416,0.4693557886638529,0.8242038990646346,0.7146348915368164,0.30461350443018637,0.4,11.440000000000003,0.46504780826380443
28,building,"{'loss_function': 'RMSE', 'eval_metric': 'MAE', 'iterations': 800, 'depth': 6, 'learning_rate': 0.08816229257589124, 'l2_leaf_reg': 2.817669284949012, 'random_strength': 1.0328269163340307, 'bagging_temperature': 0.6027797953061692, 'border_count': 64, 'min_data_in_leaf': 26, 'random_seed': 42, 'verbose': False, 'allow_writing_files': False}",0.30263872675119186,0.4714787909522576,0.8226099713761396,0.7183012526733883,0.30003055300947146,0.9,4.88,0.45235957234700674
15,building,"{'loss_function': 'RMSE', 'eval_metric': 'MAE', 'iterations': 800, 'depth': 5, 'learning_rate': 0.04034474345558448, 'l2_leaf_reg': 10.691518172551856, 'random_strength': 0.2005881323353782, 'bagging_temperature': 0.5092699594122297, 'border_count': 64, 'min_data_in_leaf': 5, 'random_seed': 42, 'verbose': False, 'allow_writing_files': False}",0.3027314543493359,0.4698193599623343,0.8238564685073386,0.7137183012526734,0.30339138405132904,0.8,6.540000000000002,0.40187291769283473
24,building,"{'loss_function': 'RMSE', 'eval_metric': 'MAE', 'iterations': 900, 'depth': 3, 'learning_rate': 0.08616891903275842, 'l2_leaf_reg': 2.5632628125055095, 'random_strength': 0.6414093082649297, 'bagging_temperature': 0.9437262333220299, 'border_count': 64, 'min_data_in_leaf': 30, 'random_seed': 42, 'verbose': False, 'allow_writing_files': False}",0.30298962007311797,0.4666348384208036,0.8262362419491798,0.7082187595478154,0.31041857622975866,0.9,6.040000000000001,0.45861359055246914
5,building,"{'loss_function': 'RMSE', 'eval_metric': 'MAE', 'iterations': 800, 'depth': 5, 'learning_rate': 0.026902980804302062, 'l2_leaf_reg': 3.8518328727336515, 'random_strength': 0.16149614799999182, 'bagging_temperature': 1.2032954711310595, 'border_count': 64, 'min_data_in_leaf': 6, 'random_seed': 42, 'verbose': False, 'allow_writing_files': False}",0.3030490003293813,0.47018122744438895,0.8235850230582054,0.7149404216315307,0.30247479376718606,1.0,5.6400000000000015,0.5358619281258041
13,building,"{'loss_function': 'RMSE', 'eval_metric': 'MAE', 'iterations': 400, 'depth': 4, 'learning_rate': 0.06857565075045843, 'l2_leaf_reg': 6.009489286351834, 'random_strength': 0.21471858797027002, 'bagging_temperature': 1.1116317661313955, 'border_count': 128, 'min_data_in_leaf': 6, 'random_seed': 42, 'verbose': False, 'allow_writing_files': False}",0.303408274031131,0.4720629614817296,0.8221701203110621,0.717079132294531,0.2997250229147571,0.8,6.870000000000002,0.3921732996140087
21,building,"{'loss_function': 'RMSE', 'eval_metric': 'MAE', 'iterations': 800, 'depth': 4, 'learning_rate': 0.05572760093071785, 'l2_leaf_reg': 5.359804939274438, 'random_strength': 0.382071536818086, 'bagging_temperature': 0.7019564070282481, 'border_count': 64, 'min_data_in_leaf': 22, 'random_seed': 42, 'verbose': False, 'allow_writing_files': False}",0.3036979869878812,0.46994982177325023,0.8237586300755496,0.717079132294531,0.30125267338832873,0.8,6.590000000000002,0.5350451420876721
16,building,"{'loss_function': 'RMSE', 'eval_metric': 'MAE', 'iterations': 600, 'depth': 5, 'learning_rate': 0.04394645499413016, 'l2_leaf_reg': 11.325701008024872, 'random_strength': 0.22447411046296928, 'bagging_temperature': 0.49524927310829975, 'border_count': 64, 'min_data_in_leaf': 1, 'random_seed': 42, 'verbose': False, 'allow_writing_files': False}",0.30538666225733047,0.4725966888802773,0.8217677742586704,0.716162542010388,0.30247479376718606,0.9,5.4300000000000015,0.4303434569312974
9,building,"{'loss_function': 'RMSE', 'eval_metric': 'MAE', 'iterations': 400, 'depth': 3, 'learning_rate': 0.1036792626285554, 'l2_leaf_reg': 7.449178106338813, 'random_strength': 0.8622121759478737, 'bagging_temperature': 1.3071908852815766, 'border_count': 128, 'min_data_in_leaf': 17, 'random_seed': 42, 'verbose': False, 'allow_writing_files': False}",0.30705014771326344,0.47382779171114336,0.8208379836039162,0.7033302780323862,0.31439046746104493,0.9,3.7700000000000005,0.30883135928761585
3,building,"{'loss_function': 'RMSE', 'eval_metric': 'MAE', 'iterations': 700, 'depth': 5, 'learning_rate': 0.019333156519854514, 'l2_leaf_reg': 3.422832404469146, 'random_strength': 0.11240768803005542, 'bagging_temperature': 1.3639806031181732, 'border_count': 64, 'min_data_in_leaf': 16, 'random_seed': 42, 'verbose': False, 'allow_writing_files': False}",0.30789867200786825,0.4755482462018146,0.819534557733436,0.7051634586006722,0.3131683470821876,0.8,5.360000000000001,0.47593098473047724
26,building,"{'loss_function': 'MAE', 'eval_metric': 'MAE', 'iterations': 900, 'depth': 5, 'learning_rate': 0.11466569713334177, 'l2_leaf_reg': 2.6968853639486476, 'random_strength': 0.5500595899783535, 'bagging_temperature': 0.3242965324706132, 'border_count': 64, 'min_data_in_leaf': 27, 'random_seed': 42, 'verbose': False, 'allow_writing_files': False}",0.308607120741217,0.4873872692450083,0.8104371438718649,0.7118851206843874,0.31286281698747326,1.0,2.37,0.3476289888190964
29,building,"{'loss_function': 'MAE', 'eval_metric': 'MAE', 'iterations': 700, 'depth': 4, 'learning_rate': 0.11469151802040967, 'l2_leaf_reg': 1.5698441299673882, 'random_strength': 0.6390365404641584, 'bagging_temperature': 0.846752152522599, 'border_count': 64, 'min_data_in_leaf': 30, 'random_seed': 42, 'verbose': False, 'allow_writing_files': False}",0.30903558590800273,0.48434313737919915,0.8127976989344812,0.7100519401161014,0.3122517567980446,1.0,3.4400000000000004,0.5485541313017555
4,building,"{'loss_function': 'RMSE', 'eval_metric': 'MAE', 'iterations': 900, 'depth': 7, 'learning_rate': 0.10581405213914657, 'l2_leaf_reg': 9.240189863957578, 'random_strength': 0.7641361869233315, 'bagging_temperature': 1.3828113525346752, 'border_count': 64, 'min_data_in_leaf': 10, 'random_seed': 42, 'verbose': False, 'allow_writing_files': False}",0.3110647450432053,0.48634952153220834,0.8112435210827432,0.7137183012526734,0.3049190345249007,0.8,7.500000000000002,0.538277974770214
10,building,"{'loss_function': 'RMSE', 'eval_metric': 'MAE', 'iterations': 900, 'depth': 8, 'learning_rate': 0.03603975916551818, 'l2_leaf_reg': 2.045506006826114, 'random_strength': 2.1914469472126643, 'bagging_temperature': 0.9111623426331782, 'border_count': 64, 'min_data_in_leaf': 2, 'random_seed': 42, 'verbose': False, 'allow_writing_files': False}",0.3161027337852446,0.4832486806235737,0.813642774753665,0.7042468683165292,0.31500152765047357,0.7,8.770000000000001,0.5051905605195657
0,building,"{'loss_function': 'MAE', 'eval_metric': 'MAE', 'iterations': 700, 'depth': 6, 'learning_rate': 0.020748663673269163, 'l2_leaf_reg': 1.473487177243719, 'random_strength': 0.12184186502221767, 'bagging_temperature': 1.2992642186624028, 'border_count': 64, 'min_data_in_leaf': 30, 'random_seed': 42, 'verbose': False, 'allow_writing_files': False}",0.3187481950031246,0.4990188285526928,0.8012812959758607,0.7091353498319585,0.3208065994500458,1.0,5.250000000000002,0.39258743626802806
2,building,"{'loss_function': 'MAE', 'eval_metric': 'MAE', 'iterations': 300, 'depth': 6, 'learning_rate': 0.05141560190911498, 'l2_leaf_reg': 1.1223502671618713, 'random_strength': 0.7896186801026689, 'bagging_temperature': 0.2557861855309373, 'border_count': 128, 'min_data_in_leaf': 25, 'random_seed': 42, 'verbose': False, 'allow_writing_files': False}",0.3206272906428175,0.49700270708387145,0.802883767439331,0.7134127711579591,0.31072410632447295,1.0,3.0900000000000003,0.4249144476569757
12,building,"{'loss_function': 'RMSE', 'eval_metric': 'MAE', 'iterations': 500, 'depth': 4, 'learning_rate': 0.02981280984653817, 'l2_leaf_reg': 6.804018278620218, 'random_strength': 1.2634615930209767, 'bagging_temperature': 1.4804547103792105, 'border_count': 128, 'min_data_in_leaf': 18, 'random_seed': 42, 'verbose': False, 'allow_writing_files': False}",0.32066114313901806,0.4967379711564033,0.8030937053317214,0.7036358081271005,0.31897341888175984,0.9,8.040000000000003,0.41335423797491994
18,building,"{'loss_function': 'MAE', 'eval_metric': 'MAE', 'iterations': 600, 'depth': 7, 'learning_rate': 0.07025933901621154, 'l2_leaf_reg': 2.2164370889576177, 'random_strength': 0.5216684215870568, 'bagging_temperature': 0.023798207866635224, 'border_count': 64, 'min_data_in_leaf': 12, 'random_seed': 42, 'verbose': False, 'allow_writing_files': False}",0.3207619833099191,0.5044536884314541,0.7969291974802956,0.6953864955698136,0.3308890925756187,1.0,5.320000000000001,0.4519476112945576
1,building,"{'loss_function': 'RMSE', 'eval_metric': 'MAE', 'iterations': 300, 'depth': 4, 'learning_rate': 0.028239004479070875, 'l2_leaf_reg': 3.6838954793622753, 'random_strength': 0.4345454109729475, 'bagging_temperature': 0.43684371029706287, 'border_count': 32, 'min_data_in_leaf': 11, 'random_seed': 42, 'verbose': False, 'allow_writing_files': False}",0.32333734047907575,0.4970688843209917,0.8028312708394587,0.6953864955698136,0.3287503819126184,0.9,4.930000000000001,0.38235871595937426
11,building,"{'loss_function': 'RMSE', 'eval_metric': 'MAE', 'iterations': 500, 'depth': 3, 'learning_rate': 0.0506662225668149, 'l2_leaf_reg': 8.86537790458536, 'random_strength': 1.5805250933882868, 'bagging_temperature': 1.1181355780287832, 'border_count': 128, 'min_data_in_leaf': 8, 'random_seed': 42, 'verbose': False, 'allow_writing_files': False}",0.3240905730540544,0.4963283386711554,0.803418327011232,0.6993583868011,0.3223342499236175,0.9,7.2600000000000025,0.5343472242109252
7,building,"{'loss_function': 'MAE', 'eval_metric': 'MAE', 'iterations': 700, 'depth': 6, 'learning_rate': 0.09491267272038423, 'l2_leaf_reg': 3.2329984123412547, 'random_strength': 0.15019490572374364, 'bagging_temperature': 1.0698671808344926, 'border_count': 128, 'min_data_in_leaf': 15, 'random_seed': 42, 'verbose': False, 'allow_writing_files': False}",0.324601135480278,0.513223494839937,0.7898071490011644,0.7103574702108157,0.3146959975557592,1.0,1.61,0.25932961428140267
6,building,"{'loss_function': 'MAE', 'eval_metric': 'MAE', 'iterations': 700, 'depth': 7, 'learning_rate': 0.07457921132932879, 'l2_leaf_reg': 1.2020086680886932, 'random_strength': 0.3384522041201139, 'bagging_temperature': 0.17380358928769457, 'border_count': 32, 'min_data_in_leaf': 2, 'random_seed': 42, 'verbose': False, 'allow_writing_files': False}",0.33211065493772224,0.5153111421467195,0.7880936615325564,0.6898869538649557,0.3434158264589062,1.0,4.69,0.3246895994935552
8,building,"{'loss_function': 'RMSE', 'eval_metric': 'MAE', 'iterations': 200, 'depth': 3, 'learning_rate': 0.016013071467780342, 'l2_leaf_reg': 4.861856996338987, 'random_strength': 0.29130095015495916, 'bagging_temperature': 0.7628560367470542, 'border_count': 32, 'min_data_in_leaf': 23, 'random_seed': 42, 'verbose': False, 'allow_writing_files': False}",0.39051660700983476,0.5982767022163197,0.7143665512091657,0.6568897036358081,0.3742743660250535,0.6,12.300000000000002,0.39175993835100253
